,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DISPLAY_FIRST_LAST,DRAFT_YEAR,DRAFT_NUMBER
3,1630173,2023-24,00,1610612761,TOR,24.0,25,0,437.0,78,170,0.459,13,47,0.277,24,42,0.571,50,86,136,44,16,12,29,40,193,Precious Achiuwa,2020,20
4,1630173,2023-24,00,1610612752,NYK,24.0,49,18,1187.0,157,299,0.525,13,50,0.26,45,70,0.643,141,210,351,53,30,56,54,103,372,Precious Achiuwa,2020,20
22,1628389,2023-24,00,1610612748,MIA,26.0,71,71,2416.0,530,1017,0.521,15,42,0.357,292,387,0.755,159,578,737,278,81,66,162,159,1367,Bam Adebayo,2017,14
24,1630534,2023-24,00,1610612762,UTA,24.0,51,10,1003.0,106,249,0.426,47,142,0.331,15,20,0.75,35,91,126,47,27,29,34,66,274,Ochai Agbaji,2022,14
25,1630534,2023-24,00,1610612761,TOR,24.0,27,18,638.0,72,184,0.391,15,69,0.217,22,36,0.611,39,51,90,36,20,15,30,51,181,Ochai Agbaji,2022,14
29,1630583,2023-24,00,1610612763,MEM,23.0,61,35,1618.0,247,568,0.435,106,304,0.349,54,87,0.621,72,280,352,138,43,54,69,89,654,Santi Aldama,2021,30
38,1629638,2023-24,00,1610612750,MIN,25.0,82,20,1921.0,236,538,0.439,131,335,0.391,52,65,0.8,35,132,167,204,64,42,76,143,655,Nickeil Alexander-Walker,2019,17
44,1628960,2023-24,00,1610612756,PHX,28.0,75,74,2513.0,340,682,0.499,205,445,0.461,129,147,0.878,48,247,295,227,69,45,95,157,1014,Grayson Allen,2018,21
53,1628386,2023-24,00,1610612739,CLE,26.0,77,77,2442.0,519,819,0.634,0,6,0.0,233,314,0.742,243,568,811,210,53,81,121,147,1271,Jarrett Allen,2017,22
56,1630631,2023-24,00,1610612740,NOP,26.0,56,0,1028.0,142,345,0.412,78,207,0.377,35,52,0.673,25,103,128,117,59,15,40,89,397,Jose Alvarado,Undrafted,Undrafted
66,203937,2023-24,00,1610612750,MIN,30.0,79,10,1782.0,199,433,0.46,11,48,0.229,97,137,0.708,60,213,273,331,71,47,91,128,506,Kyle Anderson,2014,30
77,203507,2023-24,00,1610612749,MIL,29.0,73,73,2567.0,837,1369,0.611,34,124,0.274,514,782,0.657,196,645,841,476,87,79,250,210,2222,Giannis Antetokounmpo,2013,15
83,203648,2023-24,00,1610612749,MIL,31.0,34,0,155.0,16,30,0.533,0,1,0.0,0,2,0.0,7,6,13,17,7,4,14,24,32,Thanasis Antetokounmpo,2014,51
87,1630175,2023-24,00,1610612753,ORL,24.0,81,0,1817.0,332,763,0.435,93,275,0.338,180,218,0.826,64,247,311,236,64,37,126,175,937,Cole Anthony,2020,15
94,1628384,2023-24,00,1610612761,TOR,26.0,27,27,900.0,157,321,0.489,61,163,0.374,33,46,0.717,24,82,106,72,28,13,43,62,408,OG Anunoby,2017,23
95,1628384,2023-24,00,1610612752,NYK,26.0,23,23,802.0,125,256,0.488,41,104,0.394,34,43,0.791,23,79,102,35,40,23,38,57,325,OG Anunoby,2017,23
105,1627853,2023-24,00,1610612752,NYK,30.0,20,0,45.0,0,6,0.0,0,6,0.0,0,0,0.0,0,8,8,4,2,0,2,5,0,Ryan Arcidiacono,Undrafted,Undrafted
109,1630166,2023-24,00,1610612764,WAS,23.0,75,75,2257.0,406,803,0.506,88,235,0.374,202,273,0.74,84,456,540,286,60,36,160,185,1102,Deni Avdija,2020,9
115,1629028,2023-24,00,1610612757,POR,25.0,55,55,1783.0,427,749,0.57,1,10,0.1,65,79,0.823,176,433,609,90,56,42,99,109,920,Deandre Ayton,2018,1
119,1628962,2023-24,00,1610612756,PHX,24.0,16,0,113.0,16,23,0.696,0,0,0.0,3,13,0.231,11,21,32,3,1,6,4,17,35,Udoka Azubuike,2020,27
127,1628963,2023-24,00,1610612765,DET,25.0,26,10,478.0,107,181,0.591,1,6,0.167,50,61,0.82,46,72,118,27,5,14,29,40,265,Marvin Bagley III,2018,2
